Participant_number,Image_Left,Image_Right,Selected_Degree,Reaction_Time
4,images/tibetian/a1_N.png,images/tibetian/a2_N.png,19.2,12.511413097381592
4,images/tibetian/a1_N.png,images/tibetian/b_N.png,19.2,0.00010991096496582031
4,images/tibetian/a1_N.png,images/tibetian/c_N.png,30.4,6.912137269973755
4,images/tibetian/a2_N.png,images/tibetian/b_N.png,39.4,4.029333114624023
4,images/tibetian/a2_N.png,images/tibetian/c_N.png,38.8,2.4293181896209717
4,images/tibetian/b_N.png,images/tibetian/c_N.png,73.8,3.198599100112915
4,images/tibetian/a1_Z.png,images/tibetian/a2_Z.png,80.4,4.254220724105835
4,images/tibetian/a1_Z.png,images/tibetian/b_Z.png,44.0,7.132187843322754
4,images/tibetian/a1_Z.png,images/tibetian/c_Z.png,83.2,3.123800039291382
4,images/tibetian/a2_Z.png,images/tibetian/b_Z.png,17.0,2.816920042037964
4,images/tibetian/a2_Z.png,images/tibetian/c_Z.png,17.0,0.04573225975036621
4,images/tibetian/b_Z.png,images/tibetian/c_Z.png,61.6,3.115198850631714
4,images/tibetian/a1_P.png,images/tibetian/a2_P.png,65.2,7.24440598487854
4,images/tibetian/a1_P.png,images/tibetian/b_P.png,67.0,1.8566279411315918
4,images/tibetian/a1_P.png,images/tibetian/c_P.png,62.8,4.288689136505127
4,images/tibetian/a2_P.png,images/tibetian/b_P.png,23.0,4.028030157089233
4,images/tibetian/a2_P.png,images/tibetian/c_P.png,21.0,4.322947978973389
4,images/tibetian/b_P.png,images/tibetian/c_P.png,72.0,3.7434709072113037
4,images/tibetian/a1_N.png,images/tibetian/a2_Z.png,28.6,7.530301809310913
4,images/tibetian/a1_N.png,images/tibetian/a2_P.png,80.4,3.2345731258392334
4,images/tibetian/a1_Z.png,images/tibetian/a2_N.png,33.0,5.344707727432251
4,images/tibetian/a1_Z.png,images/tibetian/a2_P.png,77.4,2.8375210762023926
4,images/tibetian/a1_P.png,images/tibetian/a2_N.png,60.8,5.925182104110718
4,images/tibetian/a1_P.png,images/tibetian/a2_Z.png,69.4,6.565973997116089
4,images/tibetian/b_N.png,images/tibetian/c_Z.png,67.8,4.847097158432007
4,images/tibetian/b_N.png,images/tibetian/c_P.png,67.8,1.8969781398773193
4,images/tibetian/b_Z.png,images/tibetian/c_N.png,32.2,4.944501161575317
4,images/tibetian/b_Z.png,images/tibetian/c_P.png,70.2,3.403594970703125
4,images/tibetian/b_P.png,images/tibetian/c_N.png,60.2,3.7829158306121826
4,images/tibetian/b_P.png,images/tibetian/c_Z.png,57.0,3.3487601280212402
